Word,Count,Percentage,Total,Distinct
the,7501,5.787942622128599,129597,13750
of,4845,3.7385124655663327,,
to,3519,2.7153406328850207,,
a,3082,2.378141469324136,,
and,2836,2.1883222605461548,,
in,2542,1.96146515737247,,
is,2481,1.91439616657793,,
that,2169,1.6736498530058566,,
it,1700,1.311758759847836,,
as,1193,0.9205460002932166,,
i,1042,0.8040309575067325,,
for,1028,0.7932282383079855,,
be,932,0.7191524495165783,,
not,872,0.6728550815219488,,
s,816,0.6296442047269613,,
by,809,0.6242428451275878,,
are,804,0.6203847311280354,,
with,763,0.5887481963317052,,
but,729,0.5625130211347484,,
have,720,0.5555684159355541,,
or,716,0.5524819247359122,,
we,703,0.5424508283370757,,
was,701,0.5409075827372547,,
on,661,0.5100426707408351,,
from,605,0.46683179394584756,,
an,572,0.4413682415488012,,
they,569,0.43905337314906984,,
he,562,0.43365201354969635,,
this,548,0.4228492943509495,,
you,537,0.41436144355193405,,
his,536,0.4135898207520236,,
#god,523,0.4035587243531872,,
–,485,0.3742370579565885,,
one,467,0.36034784755819965,,
t,453,0.3495451283594528,,
would,449,0.3464586371598108,,
their,444,0.3426005231602583,,
which,439,0.33874240916070586,,
if,435,0.3356559179610639,,
at,412,0.3179085935631226,,
all,409,0.3155937251633911,,
no,403,0.3109639883639282,,
there,388,0.2993896463652708,,
what,374,0.2885869271665239,,
who,374,0.2885869271665239,,
can,361,0.27855583076768753,,
our,333,0.2569503923701938,,
#religion,330,0.25463552397046224,,
my,319,0.24614767317144687,,
than,310,0.23920306797225246,,
#religious,305,0.23534495397269997,,
has,302,0.2330300855729685,,
more,301,0.232258462773058,,
so,297,0.22917197157341607,,
other,296,0.22840034877350557,,
them,289,0.22299898917413213,,
do,284,0.21914087517457964,,
when,283,0.21836925237466914,,
were,282,0.21759762957475867,,
about,266,0.20525166477619083,,
people,266,0.20525166477619083,,
had,264,0.20370841917636984,,
been,253,0.1952205683773544,,
even,250,0.19290569997762294,,
such,247,0.19059083157789147,,
out,247,0.19059083157789147,,
some,241,0.1859610947784285,,
up,238,0.18364622637869704,,
because,233,0.17978811237914458,,
any,232,0.17901648957923408,,
will,229,0.1767016211795026,,
only,224,0.17284350717995017,,
like,223,0.17207188438003965,,
its,215,0.16589890198075574,,
us,215,0.16589890198075574,,
could,209,0.16126916518129278,,
life,200,0.15432455998209835,,
good,194,0.1496948231826354,,
just,186,0.14352184078335145,,
world,185,0.14275021798344098,,
into,179,0.13812048118397804,,
way,178,0.13734885838406755,,
how,170,0.1311758759847836,,
same,167,0.12886100758505215,,
should,166,0.12808938478514162,,
might,165,0.12731776198523112,,
say,164,0.12654613918532065,,
me,163,0.12577451638541015,,
very,162,0.12500289358549965,,
time,160,0.12345964798567868,,
own,160,0.12345964798567868,,
him,159,0.12268802518576818,,
those,158,0.1219164023858577,,
your,155,0.11960153398612623,,
#believe,155,0.11960153398612623,,
think,150,0.11574341998657377,,
#science,148,0.11420017438675278,,
may,147,0.11342855158684229,,
many,146,0.1126569287869318,,
most,145,0.11188530598702132,,
don,145,0.11188530598702132,,
why,145,0.11188530598702132,,
man,139,0.10725556918755835,,
something,138,0.10648394638764785,,
book,134,0.1033974551880059,,
children,133,0.10262583238809542,,
must,128,0.09876771838854294,,
•,127,0.09799609558863245,,
point,127,0.09799609558863245,,
#natural,127,0.09799609558863245,,
these,126,0.09722447278872196,,
being,126,0.09722447278872196,,
#argument,125,0.09645284998881147,,
#human,125,0.09645284998881147,,
selection,124,0.09568122718890099,,
see,123,0.09490960438899049,,
know,123,0.09490960438899049,,
said,122,0.09413798158907999,,
her,122,0.09413798158907999,,
does,121,0.0933663587891695,,
then,121,0.0933663587891695,,
too,121,0.0933663587891695,,
am,120,0.092594735989259,,
child,120,0.092594735989259,,
well,117,0.09027986758952752,,
whether,112,0.08642175358997509,,
right,111,0.08565013079006457,,
different,111,0.08565013079006457,,
where,111,0.08565013079006457,,
#evidence,110,0.08487850799015409,,
make,107,0.08256363959042262,,
case,104,0.08024877119069114,,
#universe,104,0.08024877119069114,,
did,103,0.07947714839078066,,
#evolution,103,0.07947714839078066,,
really,102,0.07870552559087016,,
another,102,0.07870552559087016,,
after,101,0.07793390279095967,,
existence,101,0.07793390279095967,,
now,100,0.07716227999104917,,
moral,100,0.07716227999104917,,
question,98,0.07561903439122819,,
she,98,0.07561903439122819,,
sense,97,0.0748474115913177,,
two,97,0.0748474115913177,,
kind,96,0.07407578879140721,,
christian,96,0.07407578879140721,,
never,95,0.07330416599149672,,
design,95,0.07330416599149672,,
fact,94,0.07253254319158622,,
theory,93,0.07176092039167573,,
every,93,0.07176092039167573,,
through,92,0.07098929759176524,,
shall,92,0.07098929759176524,,
again,91,0.07021767479185476,,
without,91,0.07021767479185476,,
made,89,0.06867442919203377,,
example,89,0.06867442919203377,,
mind,89,0.06867442919203377,,
between,87,0.06713118359221278,,
less,87,0.06713118359221278,,
against,87,0.06713118359221278,,
go,87,0.06713118359221278,,
nothing,87,0.06713118359221278,,
chapter,87,0.06713118359221278,,
perhaps,87,0.06713118359221278,,
faith,86,0.06635956079230229,,
each,85,0.0655879379923918,,
over,85,0.0655879379923918,,
need,85,0.0655879379923918,,
also,85,0.0655879379923918,,
much,84,0.06481631519248131,,
indeed,84,0.06481631519248131,,
find,83,0.06404469239257081,,
things,82,0.06327306959266032,,
new,82,0.06327306959266032,,
#belief,82,0.06327306959266032,,
first,82,0.06327306959266032,,
others,81,0.06250144679274983,,
cannot,79,0.06095820119292885,,
american,78,0.06018657839301836,,
